DATE_TIME,BPOS,DBTM,FLWI,HDTH,HKLD,ROP,RPM,SPPA,WOB
1242873222,-0.906316,1.688787,0.531399,0.750660,1.035925,-0.063432,1.811899,1.747438,1.324454
1242873225,-0.906688,1.688791,0.531399,0.750665,1.033940,-0.063432,1.811899,1.747438,1.340669
1242873228,-0.907081,1.688795,0.531399,0.750669,1.035435,-0.063432,1.827223,1.754823,1.328561
1242873231,-0.907474,1.688799,0.531399,0.750674,1.032793,-0.062014,1.827223,1.742756,1.350146
1242873234,-0.907846,1.688803,0.531399,0.750679,1.032831,-0.062014,1.827223,1.742756,1.349830
1242873237,-0.908156,1.688807,0.531399,0.750683,1.034507,-0.062014,1.827223,1.749418,1.336036
1242873240,-0.908569,1.688811,0.531399,0.750688,1.032831,-0.062014,1.811899,1.749189,1.349725
1242873243,-0.908962,1.688816,0.531399,0.750693,1.031465,-0.062014,1.811899,1.749189,1.360886
1242873246,-0.909292,1.688819,0.531399,0.750697,1.032960,-0.062014,1.827223,1.767574,1.348672
1242873249,-0.909623,1.688823,0.531399,0.750701,1.029415,-0.062014,1.811899,1.735258,1.377628
1242873252,-0.910037,1.688827,0.531399,0.750706,1.029389,-0.062014,1.811899,1.735258,1.377839
1242873255,-0.910388,1.688831,0.531399,0.750710,1.029338,-0.062014,1.842547,1.758021,1.378260
1242873258,-0.910760,1.688836,0.531399,0.750715,1.034675,-0.062014,1.811899,1.752577,1.334668
1242873261,-0.911111,1.688839,0.531399,0.750719,1.031529,-0.062014,1.811899,1.752577,1.360360
1242873264,-0.911463,1.688843,0.531399,0.750724,1.030215,-0.062014,1.796575,1.764720,1.371100
1242873267,-0.911835,1.688847,0.531399,0.750728,1.032844,-0.062014,1.827223,1.755584,1.349620
1242873270,-0.912207,1.688851,0.531399,0.750733,1.031916,-0.062014,1.827223,1.755584,1.357201
1242873273,-0.912558,1.688855,0.531399,0.750737,1.029003,-0.062014,1.827223,1.750064,1.380998
1242873276,-0.912910,1.688859,0.531399,0.750741,1.034494,-0.062014,1.811899,1.759619,1.336142
1242873279,-0.913302,1.688863,0.531399,0.750746,1.037524,-0.062014,1.811899,1.759619,1.311397
1242873282,-0.913592,1.688866,0.531399,0.750750,1.033012,-0.062014,1.811899,1.746563,1.348251
1242873285,-0.913984,1.688870,0.531399,0.750755,1.032393,-0.062014,1.827223,1.742413,1.353305
1242873288,-0.914336,1.688874,0.531399,0.750759,1.029389,-0.062014,1.827223,1.742413,1.377839
1242873291,-0.914687,1.688878,0.531399,0.750763,1.034804,-0.062014,1.827223,1.749532,1.333615
1242873294,-0.915039,1.688882,0.531399,0.750767,1.029016,-0.062014,1.811899,1.762093,1.380892
1242873297,-0.915328,1.688885,0.531399,0.750771,1.037588,-0.062014,1.827223,1.751588,1.310871
1242873300,-0.915638,1.688889,0.531399,0.750775,1.033115,-0.062014,1.827223,1.751588,1.347514
1242873303,-0.916010,1.688893,0.531399,0.750780,1.033824,-0.062014,1.811899,1.754099,1.341722
1242873306,-0.916341,1.688896,0.531399,0.750784,1.033785,-0.062014,1.811899,1.750217,1.341933
1242873309,-0.916692,1.688900,0.531399,0.750788,1.030227,-0.062014,1.811899,1.750217,1.370995
1242873312,-0.917064,1.688904,0.531399,0.750793,1.031942,-0.062014,1.811899,1.754252,1.356990
1242873315,-0.917416,1.688908,0.531399,0.750797,1.035706,-0.062575,1.811899,1.754252,1.326244
1242873318,-0.917767,1.688911,0.531399,0.750801,1.033605,-0.062575,1.811899,1.740396,1.343407
1242873321,-0.918118,1.688916,0.531399,0.750806,1.039496,-0.062575,1.811899,1.753263,1.295287
1242873324,-0.918532,1.688920,0.531399,0.750811,1.030137,-0.062575,1.811899,1.753263,1.371732
